datetime;open;high;low;close
2025-12-02 16:00:00;4168.91173;4188.79098;4167.82739;4187.24921
2025-12-02 15:00:00;4220.18225;4220.26827;4167.30243;4168.91072
2025-12-02 14:00:00;4211.52989;4229.44871;4211.52989;4220.24923
2025-12-02 13:00:00;4208.95294;4215.66511;4200.88384;4211.54929
2025-12-02 12:00:00;4205.33946;4209.46581;4201.34211;4209.01192
2025-12-02 11:00:00;4185.16922;4205.97134;4185.16922;4205.37041
2025-12-02 10:00:00;4193.38604;4193.45536;4182.01864;4185.29486
2025-12-02 09:00:00;4210.75151;4211.70758;4186.25382;4193.44506
2025-12-02 08:00:00;4211.54782;4216.94098;4206.96989;4210.78897
2025-12-02 07:00:00;4212.62776;4218.48393;4209.2181;4211.28754
2025-12-02 06:00:00;4224.77939;4226.73559;4203.27774;4212.59991
2025-12-02 05:00:00;4218.42439;4225.14432;4215.63315;4224.71708
2025-12-02 04:00:00;4217.86758;4220.39767;4215.09411;4218.41439
2025-12-02 03:00:00;4221.58053;4225.80393;4216.7467;4218.04688
2025-12-02 02:00:00;4220.03459;4224.47515;4215.74979;4221.60334
2025-12-02 01:00:00;4229.35848;4229.35848;4202.07267;4220.19256
2025-12-02 00:00:00;4227.73383;4229.26433;4221.81176;4229.26433
2025-12-01 23:00:00;4232.13605;4236.36359;4225.35109;4227.76394
2025-12-01 22:00:00;4232.09772;4232.71828;4231.4433;4232.2289
2025-12-01 21:00:00;4235.87791;4240.73091;4230.2269;4232.13555
2025-12-01 20:00:00;4234.45988;4242.3133;4234.38714;4236.25067
2025-12-01 19:00:00;4240.39434;4243.61695;4231.41326;4234.38252
2025-12-01 18:00:00;4232.66922;4244.12235;4232.53236;4240.44848
2025-12-01 17:00:00;4229.30277;4238.76966;4224.68087;4232.55453
2025-12-01 16:00:00;4232.34125;4242.14613;4227.39427;4229.59325
2025-12-01 15:00:00;4239.15992;4243.41702;4216.45846;4232.13326
2025-12-01 14:00:00;4253.08131;4253.44765;4222.82592;4239.0584
2025-12-01 13:00:00;4246.91801;4265.37936;4246.90933;4253.46031
2025-12-01 12:00:00;4254.77773;4256.85611;4244.08749;4246.98159
