datetime;open;high;low;close;volume
2025-12-02 15:30:00;284.57;287.39;284.2;285.53;373680
2025-12-02 14:30:00;283.05;285.3;282.655;284.54;338744
2025-12-01 20:30:00;281.92001;283.42;281.73001;283.32001;5357873
2025-12-01 19:30:00;280.88000;281.94000;280.70999;281.91000;2916696
2025-12-01 18:30:00;280.59009;281.22000;280.45;280.89001;2919865
2025-12-01 17:30:00;279.77499;280.64001;279.45999;280.58820;2222347
2025-12-01 16:30:00;277.89999;279.89001;277.89001;279.77051;2091919
2025-12-01 15:30:00;278.10001;278.48010;277.3;277.92001;1731132
2025-12-01 14:30:00;278.14999;278.76999;276.14;278.14209;5114373
2025-11-28 17:30:00;277.059998;279;276.90079;278.85999;2505536
2025-11-28 16:30:00;276.24500;277.17;275.98651;277.049988;1791406
2025-11-28 15:30:00;276.29001;276.91989;275.98999;276.25;1743837
2025-11-28 14:30:00;277.26001;278.23920;276.019989;276.26001;4040463
2025-11-26 20:30:00;278.070007;278.29999;277.14999;277.47000;9116002
2025-11-26 19:30:00;278.26010;278.94000;278.010010;278.079987;1953254
2025-11-26 18:30:00;278.56000;278.58179;277.92499;278.26001;1432964
2025-11-26 17:30:00;279.070007;279.29001;278.095001;278.54999;1871279
2025-11-26 16:30:00;279.029999;279.53000;278.87000;279.079010;2586354
2025-11-26 15:30:00;277.79001;279.14001;276.81000;279.010101;2510611
2025-11-26 14:30:00;276.95999;279.047485;276.63000;277.81000;5086107
2025-11-25 20:30:00;277.56000;278;276.85999;276.95001;2448205
2025-11-25 19:30:00;278.040009;278.14499;277.49750;277.56500;1909795
2025-11-25 18:30:00;278.76501;278.78;277.79001;278.035004;1727727
2025-11-25 17:30:00;279.089996;279.37;278.23;278.76001;1925113
2025-11-25 16:30:00;277.82001;279.31;277.5;279.070099;2504679
2025-11-25 15:30:00;278.89001;279.63000;277.77;277.82999;2840433
2025-11-25 14:30:00;275.29999;280.38000;275.26999;278.90500;9723608
2025-11-24 20:30:00;276.47000;276.98001;275.10999;275.98001;4904039
2025-11-24 19:30:00;276.23001;276.65500;275.355;276.47501;2998933
2025-11-24 18:30:00;276.12000;276.45001;275.85;276.21951;2440121
2025-11-24 17:30:00;274.85001;276.51001;274.74;276.12000;3404232
2025-11-24 16:30:00;274.97000;275.26999;274.44000;274.85001;2583089
2025-11-24 15:30:00;273.079987;275.38959;272.64999;275;7232547
2025-11-24 14:30:00;270.89999;275.92001;270.89999;273.095001;7995693
2025-11-21 20:30:00;271.35001;272.13000;270.59000;271.5;17443143
2025-11-21 19:30:00;272.57501;273.28000;271.35001;271.37000;3135966
2025-11-21 18:30:00;270.98001;273.33;270.86499;272.60999;3562846
