datetime;open;high;low;close
2025-12-02 16:00:00;155.9042;155.92995;155.7555;155.88329
2025-12-02 15:00:00;155.95932;156.17523;155.81458;155.90598
2025-12-02 14:00:00;155.98931;156.09136;155.93892;155.9591
2025-12-02 13:00:00;156.0264;156.07339;155.95991;155.98944
2025-12-02 12:00:00;155.92897;156.03716;155.91805;156.02739
2025-12-02 11:00:00;156.04517;156.04865;155.90882;155.93009
2025-12-02 10:00:00;155.96781;156.06511;155.96005;156.04668
2025-12-02 09:00:00;155.99196;156.08633;155.94772;155.9703
2025-12-02 08:00:00;155.73789;155.9978;155.73789;155.99546
2025-12-02 07:00:00;155.773;155.84081;155.72472;155.74407
2025-12-02 06:00:00;155.6618;155.82891;155.64282;155.77587
2025-12-02 05:00:00;155.63828;155.73872;155.63774;155.66481
2025-12-02 04:00:00;155.62723;155.67073;155.56155;155.64205
2025-12-02 03:00:00;155.67342;155.72443;155.57389;155.63103
2025-12-02 02:00:00;155.63571;155.70792;155.59925;155.677
2025-12-02 01:00:00;155.64458;155.78874;155.60054;155.63901
2025-12-02 00:00:00;155.56553;155.67324;155.47826;155.64544
2025-12-01 23:00:00;155.44215;155.57179;155.44028;155.56724
2025-12-01 22:00:00;155.49078;155.49286;155.43982;155.44377
2025-12-01 21:00:00;155.44725;155.5151;155.43211;155.49193
2025-12-01 20:00:00;155.48497;155.52278;155.43959;155.44756
2025-12-01 19:00:00;155.4956;155.52651;155.46428;155.48377
2025-12-01 18:00:00;155.36269;155.50058;155.35526;155.49453
2025-12-01 17:00:00;155.29473;155.38796;155.25104;155.36306
2025-12-01 16:00:00;155.07747;155.32744;155.07079;155.29434
2025-12-01 15:00:00;155.01469;155.19938;154.89367;155.07188
2025-12-01 14:00:00;154.81783;155.05308;154.81317;155.01602
2025-12-01 13:00:00;154.78603;154.88863;154.69117;154.81433
2025-12-01 12:00:00;155.12951;155.14663;154.77185;154.78538
2025-12-01 11:00:00;155.25205;155.35014;155.10522;155.13022
2025-12-01 10:00:00;155.28821;155.30184;155.17772;155.2518
2025-12-01 09:00:00;155.49771;155.51463;155.26729;155.28926
2025-12-01 08:00:00;155.34881;155.58546;155.25624;155.49911
2025-12-01 07:00:00;155.60631;155.62094;155.31474;155.35381
2025-12-01 06:00:00;155.5947;155.71024;155.5709;155.60632
2025-12-01 05:00:00;155.55334;155.60293;155.42243;155.59948
2025-12-01 04:00:00;155.48387;155.62647;155.40671;155.55614
2025-12-01 03:00:00;155.46702;155.59548;155.41526;155.48441
2025-12-01 02:00:00;155.59639;155.63751;155.4388;155.47107
2025-12-01 01:00:00;155.84413;155.89778;155.51065;155.60238
2025-12-01 00:00:00;155.93196;155.93412;155.70627;155.84596
2025-11-30 23:00:00;156.11006;156.14394;155.9018;155.93316
2025-11-30 22:00:00;156.11176;156.17624;156.07373;156.1101
2025-11-28 21:00:00;156.12665;156.18998;156.11927;156.16955
2025-11-28 20:00:00;156.11377;156.12621;156.07682;156.12621
2025-11-28 19:00:00;156.15584;156.17276;156.07838;156.11235
2025-11-28 18:00:00;156.19193;156.23619;156.09544;156.15605
2025-11-28 17:00:00;156.18853;156.27494;156.13682;156.19164
2025-11-28 16:00:00;156.02566;156.20359;156.02341;156.18817
2025-11-28 15:00:00;156.27324;156.33584;155.9871;156.02366
2025-11-28 14:00:00;156.02654;156.40536;155.99924;156.27426
2025-11-28 13:00:00;156.12049;156.16649;156.02002;156.02761
2025-11-28 12:00:00;156.1716;156.25446;156.10167;156.122
2025-11-28 11:00:00;156.28312;156.29916;156.1732;156.17434
2025-11-28 10:00:00;156.32073;156.35171;156.28388;156.28555
2025-11-28 09:00:00;156.36179;156.37001;156.24634;156.32656
2025-11-28 08:00:00;156.30605;156.37736;156.303;156.36582
2025-11-28 07:00:00;156.39292;156.41338;156.2929;156.31043
2025-11-28 06:00:00;156.37447;156.4286;156.35846;156.39616
2025-11-28 05:00:00;156.21713;156.3985;156.21713;156.37867
2025-11-28 04:00:00;156.27131;156.28133;156.20117;156.22073
2025-11-28 03:00:00;156.282;156.31136;156.21859;156.27374
2025-11-28 02:00:00;156.40595;156.40741;156.13725;156.28337
2025-11-28 01:00:00;156.45557;156.46199;156.31913;156.40689
2025-11-28 00:00:00;156.29774;156.6029;156.17936;156.45535
2025-11-27 23:00:00;156.28417;156.31482;156.20096;156.29701
2025-11-27 22:00:00;156.30134;156.33567;156.27767;156.28281
