datetime;open;high;low;close
2025-12-02 16:00:00;90854.04;91299.99;90214.75;90606.27
2025-12-02 15:00:00;89286.94;91199.99;89274.04;90854.04
2025-12-02 14:00:00;87733.16;89287.4;87601.81;89286.94
2025-12-02 13:00:00;87270.03;87884.9;87042;87733.17
2025-12-02 12:00:00;87375.21;87558.87;87201.24;87272
2025-12-02 11:00:00;87271.59;87604.85;86993.73;87375.2
2025-12-02 10:00:00;86762.48;87594.23;86750.87;87272
2025-12-02 09:00:00;86470.88;86994.12;86447.34;86762.92
2025-12-02 08:00:00;87013.32;87057.81;86350;86470.32
2025-12-02 07:00:00;87087.02;87118.74;86886.81;87013.33
2025-12-02 06:00:00;87009.99;87179.57;86857;87087.02
2025-12-02 05:00:00;86974.9;87123.76;86819.93;87010
2025-12-02 04:00:00;86977.8;87290.99;86901.04;86974.9
2025-12-02 03:00:00;86540.32;87084.84;86204.29;86978.43
2025-12-02 02:00:00;86449.52;86851.75;86263.71;86540.33
2025-12-02 01:00:00;86514;87360;86385.63;86449.52
2025-12-02 00:00:00;86282.35;86673.8;86181.38;86514.01
2025-12-01 23:00:00;86590.36;86848;86248.01;86282.36
2025-12-01 22:00:00;86440;86877.82;86299.16;86590.35
2025-12-01 21:00:00;85515.29;86497.95;85492;86440.01
2025-12-01 20:00:00;85021.56;85849.97;84996.54;85511.18
2025-12-01 19:00:00;85188.98;85289.79;84590.82;85022.14
2025-12-01 18:00:00;84946.39;85546.56;84706.01;85188.98
2025-12-01 17:00:00;84553.69;85261.04;84444.01;84942.55
2025-12-01 16:00:00;84668.05;85436.41;84026;84549.85
2025-12-01 15:00:00;86047.5;86121.14;83800;84668.05
2025-12-01 14:00:00;85970.23;86666.67;85856.54;86047.49
2025-12-01 13:00:00;85402.74;86129.79;85326.01;85970.5
2025-12-01 12:00:00;86121.98;86205.6;84722.69;85407.03
2025-12-01 11:00:00;86632.76;86689.64;86114;86119.98
2025-12-01 10:00:00;86691.61;86810.4;86536.04;86632.21
2025-12-01 09:00:00;86857.98;86929.19;86513.41;86697.01
2025-12-01 08:00:00;86534.6;86892.41;86382.91;86857.98
2025-12-01 07:00:00;86232.25;86561.39;86047.3;86539.21
2025-12-01 06:00:00;85998.85;86352.44;85973.06;86232.65
2025-12-01 05:00:00;85797.99;86011.18;85595.76;85998.86
2025-12-01 04:00:00;86349.26;86350.09;85690;85797.99
2025-12-01 03:00:00;86726.91;86817.22;86161.32;86349.27
2025-12-01 02:00:00;87178.31;87507.9;86470.13;86726.9
2025-12-01 01:00:00;87003.99;87772.34;86941.58;87178.31
2025-12-01 00:00:00;90364;90433.7;86974.5;87002.03
2025-11-30 23:00:00;91224.82;91259.16;90353.96;90369.51
2025-11-30 22:00:00;91180.09;91349.05;91050;91224.83
2025-11-30 21:00:00;91319.33;91339.8;90909.65;91180
2025-11-30 20:00:00;91466.35;91625.54;91188.25;91319.34
2025-11-30 19:00:00;91464.02;91499.69;91290;91466.34
2025-11-30 18:00:00;91497.65;91497.65;91167.61;91464.01
2025-11-30 17:00:00;91844.1;91850;91298.95;91497.65
2025-11-30 16:00:00;91454.61;91886.12;91417.72;91844.11
2025-11-30 15:00:00;91499.7;91627.5;91321.08;91455.99
2025-11-30 14:00:00;91781.88;91801.99;91265.99;91499.72
2025-11-30 13:00:00;91484.96;91980.8;91410.01;91781.88
2025-11-30 12:00:00;91059.38;91556.59;91013.87;91485.87
2025-11-30 11:00:00;91241.11;91419.99;90983.71;91059.38
2025-11-30 10:00:00;91409.88;91472.01;91205.67;91241.1
2025-11-30 09:00:00;91199.5;91644.4;91143.01;91411.32
2025-11-30 08:00:00;90988.11;91443.18;90950.7;91194.96
2025-11-30 07:00:00;90910.57;91060.29;90872.86;90988.11
2025-11-30 06:00:00;90801.99;90962.04;90730.01;90910.57
2025-11-30 05:00:00;90873.22;90873.22;90690.06;90802.88
2025-11-30 04:00:00;90935.44;90997.1;90814.3;90876.5
2025-11-30 03:00:00;90814.99;90952.95;90480.01;90935.44
2025-11-30 02:00:00;90929.6;91056.9;90773.42;90812.93
2025-11-30 01:00:00;90914.65;91090.18;90886;90929.59
2025-11-30 00:00:00;90829.68;90966.32;90782.45;90914.65
2025-11-29 23:00:00;90773.73;90919.3;90713.69;90828.06
2025-11-29 22:00:00;91034.04;91034.04;90728.91;90773.73
2025-11-29 21:00:00;90986.95;91082.8;90831.79;91034.03
2025-11-29 20:00:00;90668.71;91071.58;90428.65;90986.94
2025-11-29 19:00:00;90723.02;90880.92;90621.4;90676.53
2025-11-29 18:00:00;90454.01;90761.43;90200;90723.02
2025-11-29 17:00:00;91029.6;91054;90449.28;90456.03
2025-11-29 16:00:00;91100;91199.99;90887.34;91029.58
2025-11-29 15:00:00;90650.38;91147.22;90650.37;91100
2025-11-29 14:00:00;90814.91;90814.91;90640.86;90650.38
2025-11-29 13:00:00;90640.56;90855.41;90618.21;90814.91
2025-11-29 12:00:00;90698.17;90845.65;90556.7;90640.56
2025-11-29 11:00:00;90581.3;90708.5;90482.91;90698.18
2025-11-29 10:00:00;90587.95;90681.81;90400;90581.31
2025-11-29 09:00:00;90655.09;90691.34;90509.86;90587.94
2025-11-29 08:00:00;90585.39;90753.5;90491.1;90645.14
2025-11-29 07:00:00;90573.13;90679.7;90376.31;90585.39
2025-11-29 06:00:00;90757.7;90842.16;90323.68;90573.14
2025-11-29 05:00:00;90913.2;90936.11;90734.9;90757.7
2025-11-29 04:00:00;90683.01;90926.73;90560.8;90913.19
2025-11-29 03:00:00;90810.92;90888.21;90671.5;90683
2025-11-29 02:00:00;90893.68;90968.99;90549.87;90810.91
2025-11-29 01:00:00;90901.99;91134.8;90810.23;90889.99
2025-11-29 00:00:00;90902.69;90988;90787.79;90901.99
2025-11-28 23:00:00;91126.6;91224.99;90895.35;90902.7
2025-11-28 22:00:00;90903.28;91172.97;90704.16;91126.6
2025-11-28 21:00:00;91222.03;91272.46;90901.1;90903.27
2025-11-28 20:00:00;91158.85;91247.18;90876.52;91222.03
2025-11-28 19:00:00;90840.88;91216.79;90833.51;91158.85
2025-11-28 18:00:00;90685.94;90976;90426.4;90846.1
2025-11-28 17:00:00;90940.43;91212.7;90220.5;90673.19
2025-11-28 16:00:00;92366.58;92392.6;90870;90936.73
2025-11-28 15:00:00;92250.1;92804.68;91996.5;92366.58
2025-11-28 14:00:00;92367.85;93161.86;91802.1;92250.11
2025-11-28 13:00:00;91506.82;92625;91364;92367.85
2025-11-28 12:00:00;91420;91705.6;91353.94;91504.07
2025-11-28 11:00:00;91831.98;91999;91042.03;91420.04
2025-11-28 10:00:00;91596.02;91850;91467.88;91828.68
2025-11-28 09:00:00;91676.09;91832.28;91424.07;91596.03
2025-11-28 08:00:00;90887.4;91702.02;90885.55;91680.2
2025-11-28 07:00:00;91286.84;91550.54;90841;90887.4
2025-11-28 06:00:00;91598.74;91598.74;91142.82;91286.85
2025-11-28 05:00:00;91405.01;91699.81;91285.74;91598.74
2025-11-28 04:00:00;91187.99;91471.31;91098.32;91405.01
2025-11-28 03:00:00;91059.27;91287.32;90977.1;91187.99
2025-11-28 02:00:00;90771.87;91139.17;90600.01;91059.27
2025-11-28 01:00:00;91192.07;91192.09;90771.84;90771.87
2025-11-28 00:00:00;91316.7;91398.36;91052.78;91192.07
2025-11-27 23:00:00;91314.6;91550;91198.65;91316.7
2025-11-27 22:00:00;91420.39;91582.77;91061.1;91309.88
