datetime;open;high;low;close
2025-12-02 16:00:00;1.32018;1.32032;1.31878;1.31956
2025-12-02 15:00:00;1.321;1.3212;1.31864;1.32022
2025-12-02 14:00:00;1.32043;1.32132;1.32015;1.32105
2025-12-02 13:00:00;1.32081;1.32091;1.31975;1.32048
2025-12-02 12:00:00;1.32006;1.32096;1.31965;1.32085
2025-12-02 11:00:00;1.31935;1.32014;1.31933;1.32006
2025-12-02 10:00:00;1.32147;1.32149;1.31821;1.31938
2025-12-02 09:00:00;1.32112;1.32206;1.31992;1.32148
2025-12-02 08:00:00;1.32158;1.3219;1.32082;1.32113
2025-12-02 07:00:00;1.32137;1.32202;1.32098;1.32158
2025-12-02 06:00:00;1.32147;1.32165;1.32079;1.32138
2025-12-02 05:00:00;1.3216;1.32173;1.32117;1.32146
2025-12-02 04:00:00;1.32178;1.3222;1.32159;1.32159
2025-12-02 03:00:00;1.32159;1.32184;1.32134;1.32177
2025-12-02 02:00:00;1.32122;1.32176;1.32105;1.32158
2025-12-02 01:00:00;1.32062;1.32145;1.32032;1.32121
2025-12-02 00:00:00;1.32091;1.3212;1.32058;1.32059
2025-12-01 23:00:00;1.32116;1.32136;1.32083;1.32091
2025-12-01 22:00:00;1.32121;1.32188;1.32101;1.32117
2025-12-01 21:00:00;1.3213;1.32168;1.32111;1.32122
2025-12-01 20:00:00;1.32109;1.32155;1.32098;1.32132
2025-12-01 19:00:00;1.3216;1.32164;1.32091;1.32111
2025-12-01 18:00:00;1.32238;1.32281;1.32127;1.32162
2025-12-01 17:00:00;1.32271;1.32321;1.32226;1.32241
2025-12-01 16:00:00;1.32531;1.32537;1.32213;1.32274
2025-12-01 15:00:00;1.325;1.32589;1.32321;1.32534
2025-12-01 14:00:00;1.32685;1.32689;1.32439;1.32504
2025-12-01 13:00:00;1.32678;1.32746;1.32606;1.32686
2025-12-01 12:00:00;1.32322;1.32697;1.32322;1.3268
2025-12-01 11:00:00;1.32289;1.32369;1.32221;1.32325
2025-12-01 10:00:00;1.32312;1.32335;1.32194;1.3229
2025-12-01 09:00:00;1.32134;1.32356;1.32118;1.32313
2025-12-01 08:00:00;1.3223;1.32284;1.32064;1.32135
2025-12-01 07:00:00;1.32152;1.32344;1.32122;1.3223
2025-12-01 06:00:00;1.32263;1.32268;1.3211;1.32151
2025-12-01 05:00:00;1.32286;1.32313;1.32247;1.32269
2025-12-01 04:00:00;1.32304;1.32338;1.32263;1.32287
2025-12-01 03:00:00;1.32278;1.32312;1.32227;1.32303
2025-12-01 02:00:00;1.32396;1.32398;1.32256;1.32276
2025-12-01 01:00:00;1.32385;1.32463;1.32332;1.32399
2025-12-01 00:00:00;1.32393;1.32434;1.32372;1.32386
2025-11-30 23:00:00;1.32312;1.32483;1.32312;1.32393
2025-11-30 22:00:00;1.32271;1.32381;1.32261;1.32312
2025-11-28 21:00:00;1.32435;1.32454;1.32337;1.32349
2025-11-28 20:00:00;1.32445;1.32478;1.32426;1.32437
2025-11-28 19:00:00;1.3236;1.32452;1.3236;1.32448
2025-11-28 18:00:00;1.3238;1.32386;1.32315;1.32364
2025-11-28 17:00:00;1.32368;1.3239;1.32278;1.32383
2025-11-28 16:00:00;1.32489;1.32498;1.3236;1.32372
2025-11-28 15:00:00;1.32284;1.32514;1.32084;1.32493
2025-11-28 14:00:00;1.32258;1.32304;1.32166;1.32289
2025-11-28 13:00:00;1.3218;1.32288;1.32127;1.32261
2025-11-28 12:00:00;1.32049;1.32202;1.3202;1.32182
2025-11-28 11:00:00;1.32104;1.32127;1.32029;1.3205
2025-11-28 10:00:00;1.32115;1.32137;1.32037;1.32105
2025-11-28 09:00:00;1.32033;1.32288;1.32023;1.32116
2025-11-28 08:00:00;1.32126;1.32138;1.32032;1.32033
2025-11-28 07:00:00;1.32178;1.32199;1.32117;1.32126
2025-11-28 06:00:00;1.32327;1.32334;1.32175;1.32179
2025-11-28 05:00:00;1.32387;1.32412;1.32284;1.32328
2025-11-28 04:00:00;1.32409;1.32429;1.32349;1.32386
2025-11-28 03:00:00;1.32344;1.3244;1.3234;1.32408
2025-11-28 02:00:00;1.32307;1.32393;1.32305;1.3234
2025-11-28 01:00:00;1.32362;1.3243;1.32287;1.32305
2025-11-28 00:00:00;1.32406;1.32449;1.32328;1.32362
2025-11-27 23:00:00;1.32365;1.32418;1.32362;1.32407
2025-11-27 22:00:00;1.32393;1.3241;1.32338;1.32366
2025-11-27 21:00:00;1.32367;1.32409;1.32367;1.32394
2025-11-27 20:00:00;1.32376;1.32387;1.32359;1.32369
2025-11-27 19:00:00;1.32361;1.32383;1.32341;1.32378
2025-11-27 18:00:00;1.32352;1.32389;1.3234;1.32363
2025-11-27 17:00:00;1.32425;1.32455;1.32305;1.32358
2025-11-27 16:00:00;1.32501;1.32553;1.32395;1.32429
2025-11-27 15:00:00;1.32358;1.32513;1.32337;1.32506
2025-11-27 14:00:00;1.32428;1.32445;1.32305;1.32359
2025-11-27 13:00:00;1.32334;1.32482;1.32327;1.3243
2025-11-27 12:00:00;1.32312;1.32343;1.3226;1.32336
2025-11-27 11:00:00;1.32264;1.32314;1.32211;1.32313
2025-11-27 10:00:00;1.32144;1.32274;1.32131;1.32265
2025-11-27 09:00:00;1.32236;1.32237;1.321;1.32144
2025-11-27 08:00:00;1.32381;1.32444;1.3219;1.32237
2025-11-27 07:00:00;1.32447;1.3245;1.32306;1.32379
2025-11-27 06:00:00;1.32609;1.32636;1.32416;1.32448
2025-11-27 05:00:00;1.3257;1.32697;1.32569;1.3261
2025-11-27 04:00:00;1.32569;1.32678;1.32538;1.3257
2025-11-27 03:00:00;1.32508;1.32584;1.32487;1.32569
2025-11-27 02:00:00;1.32566;1.32627;1.32502;1.32508
2025-11-27 01:00:00;1.32497;1.32599;1.32483;1.32564
2025-11-27 00:00:00;1.32448;1.32505;1.32442;1.32497
2025-11-26 23:00:00;1.32403;1.32482;1.32397;1.32449
2025-11-26 22:00:00;1.32433;1.32443;1.32367;1.32405
2025-11-26 21:00:00;1.32355;1.32435;1.32345;1.32435
2025-11-26 20:00:00;1.3235;1.32412;1.32323;1.32357
2025-11-26 19:00:00;1.3233;1.32372;1.32311;1.32353
2025-11-26 18:00:00;1.32243;1.32336;1.32241;1.32333
2025-11-26 17:00:00;1.32261;1.32299;1.32175;1.32246
2025-11-26 16:00:00;1.32262;1.3236;1.32205;1.32263
2025-11-26 15:00:00;1.32007;1.32336;1.31977;1.32265
2025-11-26 14:00:00;1.31867;1.32053;1.31867;1.32008
2025-11-26 13:00:00;1.31877;1.32198;1.31786;1.31872
2025-11-26 12:00:00;1.3179;1.31909;1.31302;1.31876
2025-11-26 11:00:00;1.31624;1.3192;1.31507;1.3179
2025-11-26 10:00:00;1.31726;1.31771;1.3159;1.31625
2025-11-26 09:00:00;1.31713;1.31804;1.31696;1.31726
2025-11-26 08:00:00;1.3177;1.31872;1.31701;1.31712
2025-11-26 07:00:00;1.31869;1.31939;1.31679;1.31768
2025-11-26 06:00:00;1.31905;1.3199;1.31848;1.31866
2025-11-26 05:00:00;1.31886;1.31912;1.31863;1.31903
2025-11-26 04:00:00;1.31967;1.31974;1.31879;1.31887
2025-11-26 03:00:00;1.31877;1.31974;1.31873;1.31966
2025-11-26 02:00:00;1.31813;1.31928;1.31777;1.31876
2025-11-26 01:00:00;1.3166;1.31864;1.31658;1.31814
